Sort_Row,MANUSCRIPT INFORAMTION,,,,,,DATA MODERATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLIMATE,,,,,,,,,,EXPERIMENTAL DESIGN,,,,,,SOIL INITIAL CONDITIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANATMENT DETAILS,,,,,,,,,,,,,,AMENDMENT,,,,,,,,,,RESPONSE,,,,,,,,,,,,,NOTES, , , , ,CONTROL CONDITIONS (w/ fertilizer),,,,,,,
3,ACC,LeadAuthor,page,source,comments,mangement_notes,crop,crop_group,crop_system,culitivar_details,depth.start,depth.end,param_notes,param,param_group,C.method,method.notes,units,trt_name,amend,amend_group,amend_group_brd,amdend_detail,irrigated,irrigation_group,tillage_type,country,site_name,lat.long,lat_group,long.dec.degree,lat.dec.degree,MAP,MAT,temp.worldclim.C,precip.worldclim.mm,elevation,biom_name,biom_cat,MAP_av,MAP_min,MAP_max,MAP_yrs,MAT_av,MAT_min,MAT_max,landuse.history,exp_design,subplot_dim,year.zero,exp_duration_mos,duration_group,duration_even,soil.name,soil.class,soil.order,slope,soil.texture,sand,silt,clay,clay_group,pH,pH_group,pH.method,carbonates,CEC,BD,SOC_int_group,SOC_g.kg,SOC_int,SOC_int_unit,SOC_depth_cm,SOC_int_percent,calc_SOC_int_g.kg,N_int,N_unit,P_int,P_int_unit,K_int,K_int_units,tillage_details,tillage_depth,till_depth_group,NPK_rate,Nfert,Nfert_group,Nfert_rate,Pfert,Pfert_rate,Kfert,Kfert_rate,other_addition,other_addition_rate,fert_notes,reps,C.rate_group,C.rate_Mg.ha,weight.dry_group,weight.dry,N.amend_g.kg,C.N_rate,amend_N_kg.ha,amend_N_kg.ha_group,app.method,extraction_x-axis_value,X_cf,SE_cf,SD_cf,N_cf,X_a,SE_a,SD_a,N_a,X_cmin,SE_cmin,SD_cmin,N_cmin,conclusion,quality,exp_quality,report_qual,references,Cf_N,Cf_N_rate,Cf_P,Cf_P_rate,Cf_K,Cf_K_rate,Cf_other,Cf_rate_other
769,316,Li,1055,table5,compare to CF,na,rice_rape,grain,rotation,na,0,5,N_agg_>2mm,N_macro,N,wet.sieving,na,g.kg,CFM,manure,manure,manure,pig feedlot,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.74,<6.5,water,na,20.5,1.14,10-30,17,17,g.kg,5,1.7,na,2.05,g.kg,0.718,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.1348,<5,4.5,5.2,5.760683761,23.4,<50,na,na,13.82,0.47,na,3,14.7,0.2,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",3,2,selective,na,na,na,na,na,na,na,na,na
770,316,Li,1055,table5,compare to CF,na,rice_rape,grain,rotation,na,5,15,N_agg_>2mm,N_macro,N,wet.sieving,na,g.kg,CFM,manure,manure,manure,pig feedlot,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,na,na,na,na,20.5,na,10-30,16.26,16.26,g.kg,10,1.626,na,1.58,g.kg,0.511,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.1348,<5,4.5,5.2,5.760683761,23.4,<50,na,na,13.2,0.44,na,3,13.35,1.16,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",3,2,selective,na,na,na,na,na,na,na,na,na
771,316,Li,1055,table5,compare to CF,na,rice_rape,grain,rotation,na,0,5,N_agg_>2mm,N_macro,N,wet.sieving,na,g.kg,CFS,straw,straw,residue,na,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.88,<6.5,water,na,20.5,1.18,10-30,16.95,16.95,g.kg,5,1.695,na,2.06,g.kg,0.371,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.3822,>15,16.8,7.6,2.993421053,127.68,>100,na,na,13.82,0.47,na,3,14.77,0.96,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",3,2,selective,na,na,na,na,na,na,na,na,na
772,316,Li,1055,table5,compare to CF,na,rice_rape,grain,rotation,na,5,15,N_agg_>2mm,N_macro,N,wet.sieving,na,g.kg,CFS,straw,straw,residue,na,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,na,na,na,na,20.5,na,10-30,15.08,15.08,g.kg,10,1.508,na,1.59,g.kg,0.352,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.3822,>15,16.8,7.6,2.993421053,127.68,>100,na,na,13.2,0.44,na,3,13.82,0.34,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",3,2,selective,na,na,na,na,na,na,na,na,na
773,316,Li,1055,table5,compare to CF,na,rice_rape,grain,rotation,na,0,5,N_agg_>.25mm,N_meso,N,wet.sieving,na,g.kg,CFM,manure,manure,manure,pig feedlot,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.74,<6.5,water,na,20.5,1.14,10-30,17,17,g.kg,5,1.7,na,2.05,g.kg,0.718,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.1348,<5,4.5,5.2,5.760683761,23.4,<50,na,na,20.08,0.49,na,3,20.5,0.6,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",3,2,selective,na,na,na,na,na,na,na,na,na
774,316,Li,1055,table5,compare to CF,na,rice_rape,grain,rotation,na,5,15,N_agg_>.25mm,N_meso,N,wet.sieving,na,g.kg,CFM,manure,manure,manure,pig feedlot,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,na,na,na,na,20.5,na,10-30,16.26,16.26,g.kg,10,1.626,na,1.58,g.kg,0.511,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.1348,<5,4.5,5.2,5.760683761,23.4,<50,na,na,18.29,1.23,na,3,17.54,1.08,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",3,2,selective,na,na,na,na,na,na,na,na,na
775,316,Li,1055,table5,compare to CF,na,rice_rape,grain,rotation,na,0,5,N_agg_>.25mm,N_meso,N,wet.sieving,na,g.kg,CFS,straw,straw,residue,na,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.88,<6.5,water,na,20.5,1.18,10-30,16.95,16.95,g.kg,5,1.695,na,2.06,g.kg,0.371,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.3822,>15,16.8,7.6,2.993421053,127.68,>100,na,na,20.08,0.49,na,3,20.49,0.89,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",3,2,selective,na,na,na,na,na,na,na,na,na
776,316,Li,1055,table5,compare to CF,na,rice_rape,grain,rotation,na,5,15,N_agg_>.25mm,N_meso,N,wet.sieving,na,g.kg,CFS,straw,straw,residue,na,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,na,na,na,na,20.5,na,10-30,15.08,15.08,g.kg,10,1.508,na,1.59,g.kg,0.352,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.3822,>15,16.8,7.6,2.993421053,127.68,>100,na,na,18.29,1.23,na,3,18.38,1.06,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",3,2,selective,na,na,na,na,na,na,na,na,na
777,316,Li,1055,table5,compare to CF,na,rice_rape,grain,rotation,na,0,5,N_agg_>.02mm,N_s,N,wet.sieving,na,g.kg,CFM,manure,manure,manure,pig feedlot,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.74,<6.5,water,na,20.5,1.14,10-30,17,17,g.kg,5,1.7,na,2.05,g.kg,0.718,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.1348,<5,4.5,5.2,5.760683761,23.4,<50,na,na,1.74,0.07,na,3,1.85,0.06,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",3,2,selective,na,na,na,na,na,na,na,na,na
778,316,Li,1055,table5,compare to CF,na,rice_rape,grain,rotation,na,5,15,N_agg_>.02mm,N_s,N,wet.sieving,na,g.kg,CFM,manure,manure,manure,pig feedlot,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,na,na,na,na,20.5,na,10-30,16.26,16.26,g.kg,10,1.626,na,1.58,g.kg,0.511,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.1348,<5,4.5,5.2,5.760683761,23.4,<50,na,na,1.51,0.12,na,3,1.53,0.17,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",3,2,selective,na,na,na,na,na,na,na,na,na
779,316,Li,1055,table5,compare to CF,na,rice_rape,grain,rotation,na,0,5,N_agg_>.02mm,N_s,N,wet.sieving,na,g.kg,CFS,straw,straw,residue,na,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.88,<6.5,water,na,20.5,1.18,10-30,16.95,16.95,g.kg,5,1.695,na,2.06,g.kg,0.371,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.3822,>15,16.8,7.6,2.993421053,127.68,>100,na,na,1.74,0.07,na,3,1.89,0.11,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",3,2,selective,na,na,na,na,na,na,na,na,na
780,316,Li,1055,table5,compare to CF,na,rice_rape,grain,rotation,na,5,15,N_agg_>.02mm,N_s,N,wet.sieving,na,g.kg,CFS,straw,straw,residue,na,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,na,na,na,na,20.5,na,10-30,15.08,15.08,g.kg,10,1.508,na,1.59,g.kg,0.352,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.3822,>15,16.8,7.6,2.993421053,127.68,>100,na,na,1.51,0.12,na,3,1.59,0.2,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",3,2,selective,na,na,na,na,na,na,na,na,na
781,316,Li,1056,fig3,compare to CF,na,rice_rape,grain,rotation,na,0,5,N_agg_<.02mm,N_c,N,wet.sieving,na,g.kg,CFM,manure,manure,manure,pig feedlot,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.74,<6.5,water,na,20.5,1.14,10-30,17,17,g.kg,5,1.7,na,2.05,g.kg,0.718,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.1348,<5,4.5,5.2,5.760683761,23.4,<50,na,9.96,1.47,0.27,na,3,1.74,0.08,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",2,2,selective,na,na,na,na,na,na,na,na,na
782,316,Li,1056,fig3,compare to CF,na,rice_rape,grain,rotation,na,5,15,N_agg_<.02mm,N_c,N,wet.sieving,na,g.kg,CFM,manure,manure,manure,pig feedlot,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.74,<6.5,water,na,20.5,1.14,10-30,17,17,g.kg,10,1.7,na,2.05,g.kg,0.718,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.1348,<5,4.5,5.2,5.760683761,23.4,<50,na,9.37,5.48,0.42,na,3,4.17,0.53,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",2,2,selective,na,na,na,na,na,na,na,na,na
783,316,Li,1056,fig3,compare to CF,na,rice_rape,grain,rotation,na,0,5,N_agg_<.02mm,N_c,N,wet.sieving,na,g.kg,CFS,straw,straw,residue,na,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.88,<6.5,water,na,20.5,1.18,10-30,16.95,16.95,g.kg,5,1.695,na,2.06,g.kg,0.371,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.3822,>15,16.8,7.6,2.993421053,127.68,>100,na,9.96,1.47,0.27,na,3,1.63,0.19,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",2,2,selective,na,na,na,na,na,na,na,na,na
784,316,Li,1056,fig3,compare to CF,na,rice_rape,grain,rotation,na,5,15,N_agg_<.02mm,N_c,N,wet.sieving,na,g.kg,CFS,straw,straw,residue,na,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.88,<6.5,water,na,20.5,1.18,10-30,16.95,16.95,g.kg,10,1.695,na,2.06,g.kg,0.371,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.3822,>15,16.8,7.6,2.993421053,127.68,>100,na,9.37,5.48,0.42,na,3,3.38,0.33,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",2,2,selective,na,na,na,na,na,na,na,na,na
785,316,Li,1056,fig3,compare to CF,na,rice_rape,grain,rotation,na,0,5,N_agg_>2mm,N_macro,N,wet.sieving,na,g.kg,CFM,manure,manure,manure,pig feedlot,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.74,<6.5,water,na,20.5,1.14,10-30,17,17,g.kg,5,1.7,na,2.05,g.kg,0.718,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.1348,<5,4.5,5.2,5.760683761,23.4,<50,na,9.96,3.4,0.33,na,3,3.86,0.14,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",2,2,selective,na,na,na,na,na,na,na,na,na
786,316,Li,1056,fig3,compare to CF,na,rice_rape,grain,rotation,na,0,5,N_agg_>2mm,N_macro,N,wet.sieving,na,g.kg,CFM,manure,manure,manure,pig feedlot,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.74,<6.5,water,na,20.5,1.14,10-30,17,17,g.kg,5,1.7,na,2.05,g.kg,0.718,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.1348,<5,4.5,5.2,5.760683761,23.4,<50,na,9.96,4.14,0.24,na,3,6.18,0.46,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",2,2,selective,na,na,na,na,na,na,na,na,na
787,316,Li,1056,fig3,compare to CF,na,rice_rape,grain,rotation,na,5,15,N_agg_>2mm,N_macro,N,wet.sieving,na,g.kg,CFM,manure,manure,manure,pig feedlot,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.74,<6.5,water,na,20.5,1.14,10-30,17,17,g.kg,10,1.7,na,2.05,g.kg,0.718,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.1348,<5,4.5,5.2,5.760683761,23.4,<50,na,9.37,1.15,0.3,na,3,8.22,0.19,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",2,2,selective,na,na,na,na,na,na,na,na,na
788,316,Li,1056,fig3,compare to CF,na,rice_rape,grain,rotation,na,5,15,N_agg_>2mm,N_macro,N,wet.sieving,na,g.kg,CFM,manure,manure,manure,pig feedlot,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.74,<6.5,water,na,20.5,1.14,10-30,17,17,g.kg,10,1.7,na,2.05,g.kg,0.718,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.1348,<5,4.5,5.2,5.760683761,23.4,<50,na,9.37,2.88,0.31,na,3,5.4,0.39,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",2,2,selective,na,na,na,na,na,na,na,na,na
789,316,Li,1056,fig3,compare to CF,na,rice_rape,grain,rotation,na,0,5,N_agg_>2mm,N_macro,N,wet.sieving,na,g.kg,CFS,straw,straw,residue,na,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.88,<6.5,water,na,20.5,1.18,10-30,16.95,16.95,g.kg,5,1.695,na,2.06,g.kg,0.371,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.3822,>15,16.8,7.6,2.993421053,127.68,>100,na,9.96,4.14,0.24,na,3,6.23,0.25,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",2,2,selective,na,na,na,na,na,na,na,na,na
790,316,Li,1056,fig3,compare to CF,na,rice_rape,grain,rotation,na,0,5,N_agg_>2mm,N_macro,N,wet.sieving,na,g.kg,CFS,straw,straw,residue,na,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.88,<6.5,water,na,20.5,1.18,10-30,16.95,16.95,g.kg,5,1.695,na,2.06,g.kg,0.371,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.3822,>15,16.8,7.6,2.993421053,127.68,>100,na,9.96,3.4,0.33,na,3,3.48,0.25,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",2,2,selective,na,na,na,na,na,na,na,na,na
791,316,Li,1056,fig3,compare to CF,na,rice_rape,grain,rotation,na,5,15,N_agg_>2mm,N_macro,N,wet.sieving,na,g.kg,CFS,straw,straw,residue,na,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.88,<6.5,water,na,20.5,1.18,10-30,16.95,16.95,g.kg,10,1.695,na,2.06,g.kg,0.371,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.3822,>15,16.8,7.6,2.993421053,127.68,>100,na,9.37,1.15,0.3,na,3,7.83,0.19,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",2,2,selective,na,na,na,na,na,na,na,na,na
792,316,Li,1056,fig3,compare to CF,na,rice_rape,grain,rotation,na,5,15,N_agg_>2mm,N_macro,N,wet.sieving,na,g.kg,CFS,straw,straw,residue,na,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.88,<6.5,water,na,20.5,1.18,10-30,16.95,16.95,g.kg,10,1.695,na,2.06,g.kg,0.371,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.3822,>15,16.8,7.6,2.993421053,127.68,>100,na,9.37,2.88,0.31,na,3,6.15,0.5,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",2,2,selective,na,na,na,na,na,na,na,na,na
793,316,Li,1056,fig3,compare to CF,na,rice_rape,grain,rotation,na,0,5,N_agg_>.02mm,N_s,N,wet.sieving,na,g.kg,CFM,manure,manure,manure,pig feedlot,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.74,<6.5,water,na,20.5,1.14,10-30,17,17,g.kg,5,1.7,na,2.05,g.kg,0.718,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.1348,<5,4.5,5.2,5.760683761,23.4,<50,na,9.96,4.79,0.19,na,3,4.52,0.19,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",2,2,selective,na,na,na,na,na,na,na,na,na
794,316,Li,1056,fig3,compare to CF,na,rice_rape,grain,rotation,na,5,15,N_agg_>.02mm,N_s,N,wet.sieving,na,g.kg,CFM,manure,manure,manure,pig feedlot,yes,sprinkler/drip,CT,China,"Jiangsu Province, Suzhou City, Wujiang Municipality, Jinjiaba township","31°5' N, 120°46' E",medium,120.7666667,31.08333333,1224.5,12.75,15.7,1031,5,subtropical rainforest,tropical,1224.5,na,na,est,12.75,na,na,na,RB,na,1987,168,10-30,10-20,ferric-acumulic stagnic anthrosols,na,na,na,na,na,na,30.29,>25%,5.74,<6.5,water,na,20.5,1.14,10-30,17,17,g.kg,10,1.7,na,2.05,g.kg,0.718,g.kg,na,na,na,na,na,na,na,>150,427.5,na,45,na,54,na,na,na,3,<5,0.1348,<5,4.5,5.2,5.760683761,23.4,<50,na,9.37,3.16,0.39,na,3,6.52,0.14,na,3,na,na,na,3,"positive, manure and straw contribute to SOC in macroaggregates",2,2,selective,na,na,na,na,na,na,na,na,na
